frequency,word,reading,reading_segments,meaning_en,meaning_en_custom,part,frequency_band,age_band,grade
41,感じ,かんじ,感:かん | じ,Feeling | Sense | Impression,feeling | sense | impression,noun,1000.0,,3
43,今日,きょう,,Today,today,noun,,,2
44,関係,かんけい,関:かん | 係:けい,Connection | Relation,connection | relation,noun | verbal noun | の adjective,1000.0,9.0,4
45,委員,いいん,委:い | 員:いん,Member Of A Committee | Committee Member,member Of A Committee | committee Member,noun,,,3
47,家,いえ,家:いえ,House | Home,house | home,noun | の adjective,1000.0,,2
48,世界,せかい,世:せ | 界:かい,The World | Society | The Universe,the World | society | the Universe,noun,1000.0,3.0,3
49,気,き,気:き,Spirit | Energy,spirit | energy,noun,1000.0,,1
50,点,てん,点:てん,Point | Score | Decimal Point | Viewpoint,point | score | decimal Point | viewpoint,noun | suffix,1000.0,,2
51,万,まん,万:まん,Ten Thousand,ten Thousand,numeral,1000.0,,2
52,社会,しゃかい,社:しゃ | 会:かい,Society,society,noun,1000.0,2.0,2
53,言う,いう,言:い | う,To Say,say,godan verb,1000.0,,2
54,仕事,しごと,仕:し | 事:ごと,Job | Occupation | Work,job | occupation | work,noun | verbal noun | の adjective,1000.0,3.0,3
55,同じ,おなじ,同:おな | じ,Same,same,な adjective,1000.0,,2
56,数,かず,数:かず,Number | Count | Amount,number | count | amount,noun,1000.0,,2
57,記事,きじ,記:き | 事:じ,Article | News Story | Report | Account | News Article,article | news Story | report | account | news Article,noun,,,3
59,彼,かれ,,He,he,pronoun,,,9
61,国,くに,国:くに,Country | Nation,country | nation,noun,1000.0,,2
64,三,さん,三:さん,Three,three,numeral,1000.0,,1
65,君,きみ,君:きみ,You | Buddy,you | buddy,pronoun,1000.0,,3
67,意味,いみ,意:い | 味:み,Meaning,meaning,noun | verbal noun,,,3
68,力,ちから,力:ちから,Power | Strength | Ability,power | strength | ability,noun,1000.0,,1
70,会社,かいしゃ,会:かい | 社:しゃ,Company | Corporation | The Office,company | corporation | the Office,noun,1000.0,2.0,2
72,人間,にんげん,人:にん | 間:げん,Human | Human Being,human | human Being,noun,1000.0,2.0,2
75,現在,げんざい,現:げん | 在:ざい,Present | Now | Current,present | now | current,noun,,,5
78,間,あいだ,間:あいだ,Interval | Interval Of Time | Interval Of Space,interval | interval Of Time | interval Of Space,noun,1000.0,,2
79,可能,かのう,可:か | 能:のう,Possible,possible,な adjective,,,5
80,研究,けんきゅう,研:けん | 究:きゅう,Research | Investigation | Study,research | investigation | study,noun | verbal noun,1000.0,3.0,3
81,投稿,とうこう,,Submission | Post | Contribution | Submit,submission | post | contribution | submit,noun | verbal noun,,,9
82,他,ほか,他:ほか,Other,other,noun | の adjective,1000.0,,3
83,今回,こんかい,今:こん | 回:かい,This Time,this Time,noun,1000.0,2.0,2
84,次,つぎ,次:つぎ,Next,next,noun | の adjective,1000.0,,3
85,言葉,ことば,言:こと | 葉:ば,Word | Language | Manner Of Speech,word | language | manner Of Speech,noun,,,3
87,僕,ぼく,,I | Me,i | me,pronoun | の adjective,,,9
88,多い,おおい,多:おお | い,Many | Much | Lots Of,many | much | lots Of,い adjective,1000.0,,2
89,経済,けいざい,経:けい | 済:ざい,Economy | Economics | The Economy,economy | economics | the Economy,noun | verbal noun,,,6
90,手,て,手:て,Hand | Arm,hand | arm,noun,1000.0,,1
91,最近,さいきん,最:さい | 近:きん,Recent | Latest | Lately | Recently,recent | latest | lately | recently,noun | の adjective,,,4
92,結果,けっか,結:けっ | 果:か,Result,result,noun,,,4
94,映画,えいが,映:えい | 画:が,Movie | Film,movie | film,noun | の adjective,1000.0,9.0,6
95,先生,せんせい,先:せん | 生:せい,Teacher | Sensei,teacher | sensei,noun,1000.0,1.0,1
96,生活,せいかつ,生:せい | 活:かつ,Life | Livelihood,life | livelihood,noun | verbal noun,1000.0,2.0,2
97,金,きん,金:きん,Gold,gold,noun | suffix,1000.0,,1
99,時代,じだい,時:じ | 代:だい,Period | Epoch | Era | Time Period,period | epoch | era | time Period,noun,1000.0,3.0,3
100,政府,せいふ,政:せい | 府:ふ,Government,government,noun,,,5
101,非常,ひじょう,非:ひ | 常:じょう,Emergency | Extreme | Unusual,emergency | extreme | unusual,noun | な adjective | の adjective,,,5
103,店,みせ,店:みせ,Shop | Store,shop | store,noun,1000.0,,2
104,良い,よい,良:よ | い,Good,good,い adjective,,,4
105,内容,ないよう,内:ない | 容:よう,Contents | Substance,contents | substance,noun,1000.0,9.0,5
106,一つ,ひとつ,一:ひと | つ,One Thing,one Thing,numeral,1000.0,,1
107,心,こころ,心:こころ,Heart | Mind | Feeling,heart | mind | feeling,noun,1000.0,,2
108,見る,みる,見:み | る,To See | To Look | To Watch,see | look | watch,transitive verb | ichidan verb,1000.0,,1
109,説明,せつめい,説:せつ | 明:めい,Explanation | Description,explanation | description,noun | verbal noun | の adjective,1000.0,9.0,4
110,写真,しゃしん,写:しゃ | 真:しん,Photo | Photograph | Picture,photo | photograph | picture,noun,1000.0,3.0,3
111,教育,きょういく,教:きょう | 育:いく,Education,education,noun | verbal noun | の adjective,1000.0,3.0,3
112,女性,じょせい,女:じょ | 性:せい,Female | Woman | Lady,female | woman | lady,noun | の adjective,,,5
113,子供,こども,子:こ | 供:ども,Child | Kid | Children | Kids,child | kid | children | kids,noun,,,6
114,方法,ほうほう,方:ほう | 法:ほう,Method | Way,method | way,noun,1000.0,9.0,4
116,名,な,名:な,Name | Reputation,name | reputation,noun,1000.0,,1
118,少し,すこし,少:すこ | し,A Little | A Few | Few | A bit,a Little | a Few | few | a bit,adverb | noun,1000.0,,2
119,紹介,しょうかい,,Introduction,introduction,noun | verbal noun | の adjective,,,9
120,技術,ぎじゅつ,技:ぎ | 術:じゅつ,Technique | Craft | Technology | Skill,technique | craft | technology | skill,noun,,,5
121,名前,なまえ,名:な | 前:まえ,Name | First Name | Full Name | Given Name,name | first Name | full Name | given Name,noun,1000.0,2.0,2
122,参加,さんか,参:さん | 加:か,Participation,participation,noun | verbal noun | の adjective,,,4
126,好き,すき,好:す | き,Like | Love | Likable | Lovable,like | love | likable | lovable,noun | な adjective,,,4
127,活動,かつどう,活:かつ | 動:どう,Activity,activity,noun | verbal noun,1000.0,3.0,3
128,東京,とうきょう,東:とう | 京:きょう,Tokyo,tokyo,proper noun,1000.0,2.0,2
129,状況,じょうきょう,,Condition | Circumstances | Situation,condition | circumstances | situation,noun | の adjective,,,9
130,五,ご,五:ご,Five,five,numeral,1000.0,,1
132,管理,かんり,管:かん | 理:り,Management | Administration,management | administration,noun | verbal noun,,,4
133,特に,とくに,特:とく | に,Especially | Particularly,especially | particularly,adverb,,,4
134,環境,かんきょう,,Environment,environment,noun | の adjective,,,9
135,地域,ちいき,地:ち | 域:いき,Region | Area | Zone,region | area | zone,noun,1000.0,9.0,6
136,本当に,ほんとうに,本:ほん | 当:とう | に,Really | Truly,really | truly,adverb,1000.0,2.0,2
138,実際,じっさい,実:じっ | 際:さい,Actually | Really | Reality | Real,actually | really | reality | real,adverb | noun | の adjective,1000.0,9.0,5
139,中国,ちゅうごく,中:ちゅう | 国:ごく,China,china,proper noun,1000.0,2.0,2
140,市,し,市:し,City,city,noun | suffix,1000.0,,2
141,先,さき,先:さき,Tip | Ahead | First | Future,tip | ahead | first | future,noun | prefix | suffix | の adjective,1000.0,,1
143,誰,だれ,,Who,who,pronoun | の adjective,,,9
144,個人,こじん,個:こ | 人:じん,Personal | Individual,personal | individual,noun | の adjective,,,5
145,意見,いけん,意:い | 見:けん,Opinion | View,opinion | view,noun | verbal noun | の adjective,,,3
146,状態,じょうたい,状:じょう | 態:たい,Condition | State,condition | state,noun,,,5
148,大学,だいがく,大:だい | 学:がく,University | College | Uni,university | college | uni,noun,1000.0,1.0,1
149,物,もの,物:もの,Thing | Object | Item,thing | object | item,noun,1000.0,,3
150,存在,そんざい,存:そん | 在:ざい,Existence,existence,noun | verbal noun,,,6
151,最後,さいご,最:さい | 後:ご,Last | End | Conclusion | Final,last | end | conclusion | final,noun | の adjective,,,4
153,彼女,かのじょ,,She | Girlfriend,she | girlfriend,pronoun,1000.0,9.0,9
154,理解,りかい,理:り | 解:かい,Understanding | Comprehension,understanding | comprehension,noun | verbal noun,1000.0,9.0,5
155,学校,がっこう,学:がっ | 校:こう,School,school,noun,1000.0,1.0,1
156,部分,ぶぶん,部:ぶ | 分:ぶん,Portion | Section | Part,portion | section | part,noun,1000.0,3.0,3
157,得,とく,得:とく,Benefit | Profit | Advantage | Gain,benefit | profit | advantage | gain,な adjective | independent noun,,,5
158,電話,でんわ,電:でん | 話:わ,Telephone | Phone,telephone | phone,noun | の adjective | verbal noun,1000.0,2.0,2
159,考える,かんがえる,考:かんが | える,To Think About | To Consider | To Give Thought,think About | consider | give Thought,transitive verb | ichidan verb,1000.0,,2
160,用,よう,用:よう,Task | Use | Duty | Service | Business | Purpose,task | use | duty | service | business | purpose,noun | suffix,1000.0,,2
161,行く,いく,行:い | く,To Go,go,intransitive verb | godan verb,1000.0,,2
164,日記,にっき,日:にっ | 記:き,Diary | Journal,diary | journal,noun,1000.0,2.0,2
165,制度,せいど,制:せい | 度:ど,System,system,noun | の adjective,,,5
166,使用,しよう,使:し | 用:よう,Use | Application | Employment,use | application | employment,noun | verbal noun,,,3
168,四,よん,四:よん,Four,four,numeral,1000.0,,1
171,基本,きほん,基:き | 本:ほん,Foundation | Basics,foundation | basics,noun | の adjective,1000.0,9.0,5
172,関連,かんれん,関:かん | 連:れん,Relation | Connection | Relevance | Correlation,relation | connection | relevance | correlation,noun | verbal noun | の adjective,,,4
173,一般,いっぱん,,General | Common,general | common,noun | の adjective,1000.0,9.0,9
174,新しい,あたらしい,新:あたら | しい,New,new,い adjective,1000.0,,2
175,開発,かいはつ,開:かい | 発:はつ,Development,development,noun | verbal noun,1000.0,3.0,3
176,音楽,おんがく,音:おん | 楽:がく,Music,music,noun,1000.0,2.0,2
177,一番,いちばん,一:いち | 番:ばん,Number One | The First | First | The Best | Best | The Most | Most,number One | the First | first | the Best | best | the Most | most,noun,1000.0,2.0,2
178,内,うち,内:うち,Inside | Within,inside | within,noun | の adjective,1000.0,,2
179,作品,さくひん,作:さく | 品:ひん,A Work | Work | Production,a Work | work | production,noun,1000.0,3.0,3
180,側,そば,側:そば,Side | Side Of Something | Part,side | side Of Something | part,noun | suffix,,,4
181,重要,じゅうよう,重:じゅう | 要:よう,Essential | Important | Necessary,essential | important | necessary,noun | な adjective,1000.0,9.0,4
183,高い,たかい,高:たか | い,Tall | High | Expensive,tall | high | expensive,い adjective,1000.0,,2
184,最初,さいしょ,最:さい | 初:しょ,The First | First | Beginning | Outset,the First | first | beginning | outset,noun | の adjective,,,4
187,国民,こくみん,国:こく | 民:みん,The People | Citizens | National,the People | citizens | national,noun,1000.0,9.0,4
191,水,みず,水:みず,Water,water,noun,1000.0,,1
193,事件,じけん,事:じ | 件:けん,Incident | Case | Scandal,incident | case | scandal,noun,1000.0,9.0,5
194,英語,えいご,英:えい | 語:ご,English Language | English,english Language | english,noun | の adjective,1000.0,9.0,4
195,所,ところ,所:ところ,Place | Spot | Scene,place | spot | scene,noun | suffix,1000.0,,3
196,質問,しつもん,質:しつ | 問:もん,Question,question,noun | verbal noun | の adjective,1000.0,9.0,5
197,形,かたち,形:かたち,Shape | Form,shape | form,noun | suffix,1000.0,,2
198,男,おとこ,男:おとこ,Man,man,noun,1000.0,,1
199,約,やく,約:やく,About | Approximately,about | approximately,adverb,,,4
200,主義,しゅぎ,主:しゅ | 義:ぎ,Ism | Principle | Doctrine,ism | principle | doctrine,noun | suffix,1000.0,9.0,5
201,下,した,下:した,Below | Under | Beneath | Down,below | under | beneath | down,noun,1000.0,,1
204,理由,りゆう,理:り | 由:ゆう,Reason | Motive | Excuse,reason | motive | excuse,noun,1000.0,3.0,3
210,場所,ばしょ,場:ば | 所:しょ,Place | Location | Spot,place | location | spot,noun,1000.0,3.0,3
212,米,こめ,米:こめ,Rice,rice,noun,1000.0,,2
213,お願い,おねがい,お | 願:ねが | い,A Request | Request | Wish | Please,a Request | request | wish | please,noun | verbal noun,,,4
214,労働,ろうどう,労:ろう | 働:どう,Manual Labor | Labor | Work,manual Labor | labor | work,noun | verbal noun | の adjective,,,4
215,車,くるま,車:くるま,Car,car,noun,1000.0,,1
217,相手,あいて,相:あい | 手:て,Partner | Companion | Opponent,partner | companion | opponent,noun,1000.0,3.0,3
218,国際,こくさい,国:こく | 際:さい,International,international,noun | の adjective,,,5
220,声,こえ,声:こえ,Voice,voice,noun,1000.0,,2
221,計画,けいかく,計:けい | 画:かく,Plan | Planning | Project,plan | planning | project,noun | verbal noun,1000.0,2.0,2
222,政治,せいじ,政:せい | 治:じ,Politics | Government,politics | government,noun,,,5
223,別,べつ,別:べつ,Different | Separate,different | separate,noun | の adjective,,,4
227,億,おく,億:おく,Hundred Million,hundred Million,numeral,,,4
228,頃,ころ,,Approximate Time | Around | About,approximate Time | around | about,noun | suffix,,,9
229,号,ごう,号:ごう,Number | Edition | Model,number | edition | model,noun | suffix,1000.0,,3
233,文化,ぶんか,文:ぶん | 化:か,Culture,culture,noun,,,3
234,体,からだ,体:からだ,Body,body,noun | の adjective,1000.0,,2
235,違う,ちがう,,To Be Different | To Be Wrong | To Be Mistaken | To Vary | To Differ,be Different | be Wrong | be Mistaken | vary | differ,intransitive verb | godan verb,,,9
236,大変,たいへん,大:たい | 変:へん,Serious | Terrible | Very | Difficult | Hard | Hectic,serious | terrible | very | difficult | hard | hectic,adverb | な adjective,1000.0,9.0,4
237,彼ら,かれら,,They | Them | Those Guys,they | them | those Guys,pronoun | の adjective,,,9
238,評価,ひょうか,評:ひょう | 価:か,Evaluation | Appraisal | Verdict | Valuation | Assessment | Rating,evaluation | appraisal | verdict | valuation | assessment | rating,noun | verbal noun,,,5
239,百,ひゃく,百:ひゃく,Hundred | One Hundred,hundred | one Hundred,numeral,1000.0,,1
240,対応,たいおう,対:たい | 応:おう,Dealing With | Response,dealing With | response,noun | verbal noun,1000.0,9.0,5
242,頭,あたま,頭:あたま,Head,head,noun,1000.0,,2
243,子,こ,子:こ,Child | Kid,child | kid,noun | suffix,1000.0,,1
244,自由,じゆう,自:じ | 由:ゆう,Freedom | Liberty,freedom | liberty,noun | な adjective,,,3
246,昨日,きのう,,Yesterday,yesterday,noun,,,4
248,歴史,れきし,歴:れき | 史:し,History,history,noun | の adjective,,,5
250,気持ち,きもち,気:き | 持:も | ち,Feeling,feeling,noun,,,3
251,報告,ほうこく,報:ほう | 告:こく,Report | Information,report | information,noun | verbal noun,,,5
252,程度,ていど,程:てい | 度:ど,Degree | Extent | Level,degree | extent | level,noun | suffix,1000.0,9.0,5
253,元,もと,元:もと,Origin | Ex | Former,origin | ex | former,noun | prefix,1000.0,,2
254,人々,ひとびと,,People,people,noun | の adjective,,,1
256,予定,よてい,予:よ | 定:てい,Plan | Schedule | Estimate,plan | schedule | estimate,noun | verbal noun,1000.0,3.0,3
259,経験,けいけん,経:けい | 験:けん,Experience,experience,noun | verbal noun,,,5
260,型,かた,型:かた,Model | Type | Mold | Pattern,model | type | mold | pattern,noun,,,5
262,以外,いがい,以:い | 外:がい,Other Than | Excepting | Except For,other Than | excepting | except For,noun,,,4
263,今年,ことし,今:こ | 年:とし,This Year,this Year,noun,1000.0,2.0,2
264,価格,かかく,価:か | 格:かく,Price | Value | Cost,price | value | cost,noun,,,5
265,投資,とうし,投:とう | 資:し,Investment,investment,noun | verbal noun,1000.0,9.0,5
268,自然,しぜん,自:し | 然:ぜん,Nature | Natural,nature | natural,noun | な adjective,1000.0,9.0,4
269,商品,しょうひん,商:しょう | 品:ひん,Merchandise | Product | Goods,merchandise | product | goods,noun,,,3
270,発表,はっぴょう,発:はっ | 表:ぴょう,Announcement | Presentation,announcement | presentation,noun | verbal noun,1000.0,3.0,3
271,目的,もくてき,目:もく | 的:てき,Purpose | Goal | Motive,purpose | goal | motive,noun,1000.0,9.0,4
272,影響,えいきょう,,Influence,influence,noun,,,9
274,一緒,いっしょ,,Together,together,noun | の adjective,1000.0,9.0,9
275,面,めん,面:めん,Surface | Face,surface | face,noun,1000.0,,3
276,顔,かお,顔:かお,Face,face,noun,1000.0,,2
277,選手,せんしゅ,選:せん | 手:しゅ,Pro Athlete | Sports Player | Professional Athlete,pro Athlete | sports Player | professional Athlete,noun,1000.0,9.0,4
279,道,みち,道:みち,Road | Street | Path | Way,road | street | path | way,noun,1000.0,,2
283,違い,ちがい,,Difference,difference,noun | suffix,,,9
284,千,せん,千:せん,Thousand,thousand,numeral,1000.0,,1
285,確認,かくにん,確:かく | 認:にん,Confirmation | Verification,confirmation | verification,noun | verbal noun,,,6
286,下さい,ください,下:くだ | さい,Please Give Me | Please,please Give Me | please,expression,,,1
287,夜,よる,夜:よる,Night | Evening,night | evening,noun,1000.0,,2
288,例えば,たとえば,例:たと | えば,For Example | For Instance | Supposing That,for Example | for Instance | supposing That,adverb,,,4
291,音,おと,音:おと,Sound | Noise,sound | noise,noun | suffix,1000.0,,1
292,提供,ていきょう,提:てい | 供:きょう,Offering | Providing,offering | providing,noun | verbal noun,,,6
293,事実,じじつ,事:じ | 実:じつ,Fact | Factual | In Fact,fact | factual | in Fact,noun | adverb | の adjective,1000.0,3.0,3
294,地,ち,地:ち,Earth | Ground | Land,earth | ground | land,noun,1000.0,,2
295,簡単,かんたん,簡:かん | 単:たん,Simple | Easy | Simply,simple | easy | simply,noun | な adjective,,,6
296,朝,あさ,朝:あさ,Morning,morning,noun,1000.0,,2
299,当然,とうぜん,当:とう | 然:ぜん,Natural | Obvious | Of Course | Naturally,natural | obvious | of Course | naturally,な adjective | の adjective | expression,1000.0,9.0,4
301,責任,せきにん,責:せき | 任:にん,Responsibility,responsibility,noun,,,5
303,六,ろく,六:ろく,Six,six,numeral,1000.0,,1
304,通り,とおり,通:とお | り,Avenue | Street | Road | Way,avenue | street | road | way,noun,1000.0,,2
305,議論,ぎろん,議:ぎ | 論:ろん,Argument | Discussion | Controversy,argument | discussion | controversy,noun | verbal noun,,,6
307,以前,いぜん,以:い | 前:ぜん,Previously | Before,previously | before,noun,,,4
310,判断,はんだん,判:はん | 断:だん,Judgment | Decision | Conclusion,judgment | decision | conclusion,noun | verbal noun,,,5
312,専門,せんもん,専:せん | 門:もん,Specialty | Speciality | Area Of Study | Major,specialty | speciality | area Of Study | major,noun | の adjective,1000.0,9.0,6
313,家族,かぞく,家:か | 族:ぞく,Family | Immediate Family,family | immediate Family,noun | の adjective,1000.0,3.0,3
315,悪い,わるい,悪:わる | い,Bad | Poor | Wrong,bad | poor | wrong,い adjective,1000.0,,3
316,初めて,はじめて,初:はじ | めて,For The First Time | First Time,for The First Time | first Time,adverb | の adjective,,,4
317,勉強,べんきょう,勉:べん | 強:きょう,Studies | Study,studies | study,noun | verbal noun,1000.0,3.0,3
318,期待,きたい,期:き | 待:たい,Expectation | Anticipation,expectation | anticipation,noun | verbal noun,,,3
319,全く,まったく,全:まった | く,Completely | Entirely | Truly | Really | Wholly,completely | entirely | truly | really | wholly,adverb,1000.0,,3
320,教え,おしえ,教:おし | え,Teaching | Instruction | Teachings | Lesson | Doctrine,teaching | instruction | teachings | lesson | doctrine,noun,7000.0,,2
321,韓国,かんこく,,South Korea | Korea,south Korea | korea,noun,,,9
322,外,そと,外:そと,Outside,outside,noun | の adjective,1000.0,,2
323,効果,こうか,効:こう | 果:か,An Effect | Effect,an Effect | effect,noun | の adjective,,,5
326,普通,ふつう,,Normal | Normally,normal | normally,adverb | noun | の adjective,1000.0,9.0,9
327,組織,そしき,組:そ | 織:しき,Organization,organization,noun | verbal noun,1000.0,9.0,5
328,政策,せいさく,政:せい | 策:さく,Policy | A Policy,policy | a Policy,noun,,,6
329,町,まち,町:まち,Town,town,noun,1000.0,,1
330,行動,こうどう,行:こう | 動:どう,Action | Behavior,action | behavior,noun | verbal noun | の adjective,,,3
334,学生,がくせい,学:がく | 生:せい,Student,student,noun,,,1
335,海,うみ,海:うみ,Ocean | Sea,ocean | sea,noun,1000.0,,2
336,持つ,もつ,持:も | つ,To Hold Something | To Carry Something | To Own Something | To Keep Something,hold Something | carry Something | own Something | keep Something,godan verb,1000.0,,3
337,販売,はんばい,,Sales | Selling | Marketing,sales | selling | marketing,noun | verbal noun,1000.0,9.0,9
338,購入,こうにゅう,,Purchase | Purchasing,purchase | purchasing,noun | verbal noun,1000.0,9.0,9
339,科学,かがく,科:か | 学:がく,Science,science,noun,,,2
340,及び,および,,As Well As,as Well As,conjunction,,,9
341,監督,かんとく,,Supervision | Head Coach | Director,supervision | head Coach | director,noun | verbal noun | の adjective,,,9
342,意識,いしき,意:い | 識:しき,Consciousness | Awareness,consciousness | awareness,noun | verbal noun,1000.0,9.0,5
344,九,きゅう,九:きゅう,Nine,nine,numeral,1000.0,,1
346,表現,ひょうげん,表:ひょう | 現:げん,Expression | Figure Of Speech | Representation,expression | figure Of Speech | representation,noun | verbal noun,1000.0,9.0,5
347,戦争,せんそう,戦:せん | 争:そう,War,war,noun | verbal noun,,,4
349,その他,そのほか,その | 他:ほか,The Others | Other | Other Than That,the Others | other | other Than That,expression,1000.0,,3
350,決定,けってい,決:けっ | 定:てい,Decision | Determination,decision | determination,noun | verbal noun,1000.0,3.0,3
351,曲,きょく,曲:きょく,Tune | Piece Of Music | Song | Melody,tune | piece Of Music | song | melody,noun,1000.0,,3
353,法律,ほうりつ,法:ほう | 律:りつ,Law,law,noun | の adjective,,,6
356,大きく,おおきく,大:おお | きく,In A Big Way | On A Grand Scale,in A Big Way | on A Grand Scale,adverb,,,1
357,行き,ゆき,行:ゆ | き,Train Direction | Bound For,train Direction | bound For,noun | suffix,,,2
358,行う,おこなう,行:おこな | う,To Carry Something Out | To Perform Something,carry Something Out | perform Something,transitive verb | godan verb,,,2
359,対象,たいしょう,対:たい | 象:しょう,Target | Subject,target | subject,noun | の adjective,,,5
360,現実,げんじつ,現:げん | 実:じつ,Reality,reality,noun,1000.0,9.0,5
361,読む,よむ,読:よ | む,To Read,read,transitive verb | godan verb,1000.0,,2
362,対策,たいさく,対:たい | 策:さく,Counter Plan | Countermeasure,counter Plan | countermeasure,noun | verbal noun,,,6
363,作業,さぎょう,作:さ | 業:ぎょう,Work | Task | Operation,work | task | operation,noun | verbal noun,1000.0,3.0,3
364,価値,かち,価:か | 値:ち,Value | Worth | Merit,value | worth | merit,noun,,,6
365,十分,じゅうぶん,十:じゅう | 分:ぶん,Enough | Sufficient | Plenty,enough | sufficient | plenty,な adjective | adverb,1000.0,2.0,2
368,姿,すがた,姿:すがた,Figure | Shape | Form,figure | shape | form,noun,,,6
369,新聞,しんぶん,新:しん | 聞:ぶん,Newspaper,newspaper,noun | の adjective,1000.0,2.0,2
371,風,かぜ,風:かぜ,Wind,wind,noun,1000.0,,2
372,八,はち,八:はち,Eight,eight,numeral,1000.0,,1
373,際,きわ,際:きわ,Side | Edge | Brink,side | edge | brink,noun | suffix,,,5
375,全て,すべて,全:すべ | て,All | Entire | Everything,all | entire | everything,noun | の adjective,1000.0,,3
376,大臣,だいじん,大:だい | 臣:じん,Minister | Cabinet Minister | State Minister | Secretary Of State,minister | cabinet Minister | state Minister | secretary Of State,noun,,,4
377,神,かみ,神:かみ,God | Gods,god | gods,noun,1000.0,,3
380,毎日,まいにち,毎:まい | 日:にち,Every Day | Daily,every Day | daily,noun,1000.0,2.0,2
381,俺,おれ,,I | Me,i | me,noun | の adjective,,,9
382,試合,しあい,試:し | 合:あい,Game | Match,game | match,noun | verbal noun,1000.0,9.0,4
383,七,なな,七:なな,Seven,seven,numeral,1000.0,,1
384,会議,かいぎ,会:かい | 議:ぎ,Meeting | Conference | Assembly,meeting | conference | assembly,noun | verbal noun | の adjective,,,4
385,使う,つかう,使:つか | う,To Use | To Spend,use | spend,transitive verb | godan verb,1000.0,,3
386,指摘,してき,,Pointing Out | Identification,pointing Out | identification,noun | verbal noun,1000.0,9.0,9
387,書く,かく,書:か | く,To Write,write,transitive verb | godan verb,1000.0,,2
388,製品,せいひん,製:せい | 品:ひん,Product | Manufactured Goods,product | manufactured Goods,noun,1000.0,9.0,5
389,変化,へんか,変:へん | 化:か,Change | Transformation,change | transformation,noun | verbal noun,1000.0,9.0,4
390,結局,けっきょく,結:けっ | 局:きょく,After All | Eventually | In The End,after All | eventually | in The End,adverb | noun | の adjective,1000.0,9.0,4
391,消費,しょうひ,消:しょう | 費:ひ,Consumption | Expenditure,consumption | expenditure,noun | verbal noun | の adjective,1000.0,9.0,5
392,保険,ほけん,保:ほ | 険:けん,Insurance,insurance,noun | の adjective,,,5
395,人生,じんせい,人:じん | 生:せい,One's Life | Human Life | Life,one's Life | human Life | life,noun,1000.0,1.0,1
396,量,りょう,量:りょう,Quantity | Amount,quantity | amount,noun | suffix,,,4
397,米国,べいこく,米:べい | 国:こく,United States | America | USA,united States | america | uSA,proper noun | の adjective,1000.0,2.0,2
399,精神,せいしん,精:せい | 神:しん,Spirit | Mind,spirit | mind,noun,1000.0,9.0,5
401,過去,かこ,過:か | 去:こ,Past | The Past,past | the Past,noun,1000.0,9.0,5
402,我々,われわれ,,We | Us,we | us,pronoun | の adjective,,,6
